,year,month,day
0,1961,4,1
1,1962,4,1
2,1963,4,1
3,1964,4,2
4,1965,4,2
5,1966,3,20
6,1967,3,30
7,1968,3,29
8,1969,4,6
9,1970,4,7
10,1971,3,30
11,1972,3,28
12,1973,3,31
13,1974,4,2
14,1975,3,29
15,1976,3,22
16,1977,3,22
17,1978,3,31
18,1979,3,23
19,1980,3,31
20,1981,3,26
21,1982,3,23
22,1983,3,31
23,1984,4,11
24,1985,4,3
25,1986,4,3
26,1987,3,23
27,1988,4,2
28,1989,3,20
29,1990,3,20
30,1991,3,30
31,1992,3,24
32,1993,3,24
33,1994,3,31
34,1995,3,31
35,1996,3,31
36,1997,3,21
37,1998,3,27
38,1999,3,24
39,2000,3,30
40,2001,3,23
41,2002,3,16
42,2003,3,27
43,2004,3,18
44,2005,3,31
45,2006,3,21
46,2007,3,20
47,2008,3,22
48,2009,3,21
49,2010,3,22
50,2011,3,28
51,2012,3,31
52,2013,3,16
53,2014,3,25
54,2015,3,23
55,2016,3,21
56,2017,3,21
